Country,Code,Year,Population,Energy_per_capita,Annual_Mean,Temp_5yr_Smooth,Total_Energy_Proxy,Total_Energy_TWh,Population_Millions,Temp_Change_YoY,Decade,High_Energy_Use,Climate_Band
Afghanistan,AFG,2014,32792523.0,812.08,13.33,13.66,26630212744.00755,26.63021274400755,32.79,0.0,2010,False,Mild
Afghanistan,AFG,2015,33831764.0,914.92,13.66,13.67,30953517881.44136,30.95351788144136,33.83,0.33000000000000007,2010,False,Mild
Afghanistan,AFG,2016,34700612.0,809.07,14.19,13.69,28075347338.0126,28.075347338012598,34.7,0.5299999999999994,2010,False,Mild
Afghanistan,AFG,2017,35688935.0,1023.21,13.82,13.73,36517410799.303,36.517410799303,35.69,-0.3699999999999992,2010,False,Mild
Afghanistan,AFG,2018,36743039.0,1265.34,14.25,13.78,46492510454.338005,46.492510454338,36.74,0.4299999999999997,2010,False,Mild
Afghanistan,AFG,2019,37856121.0,1244.49,13.58,13.85,47111526167.169,47.111526167168996,37.86,-0.6699999999999999,2010,False,Mild
Afghanistan,AFG,2020,39068979.0,1200.74,12.91,13.94,46911748354.8264,46.9117483548264,39.07,-0.6699999999999999,2020,False,Mild
Afghanistan,AFG,2021,40000412.0,1189.22,14.28,14.03,47569309958.84599,47.56930995884599,40.0,1.3699999999999992,2020,False,Mild
Afghanistan,AFG,2022,40578842.0,1111.57,14.48,14.12,45106324849.045,45.106324849044995,40.58,0.20000000000000107,2020,False,Mild
Albania,ALB,2014,2773767.0,8866.9,12.93,12.94,24594720159.834,24.594720159834,2.77,0.0,2010,False,Mild
Albania,ALB,2015,2731293.0,8292.75,12.87,12.96,22649919100.578,22.649919100578,2.73,-0.0600000000000005,2010,False,Mild
Albania,ALB,2016,2689469.0,9234.72,12.9,12.97,24836503921.556,24.836503921555998,2.69,0.030000000000001137,2010,False,Mild
Albania,ALB,2017,2648285.0,10106.21,12.75,12.99,26764129646.42,26.76412964642,2.65,-0.15000000000000036,2010,False,Mild
Albania,ALB,2018,2607733.0,9672.06,13.43,13.03,25222156559.3125,25.2221565593125,2.61,0.6799999999999997,2010,False,Mild
Albania,ALB,2019,2567801.0,8630.01,13.33,13.07,22160138036.806,22.160138036806,2.57,-0.09999999999999964,2010,False,Mild
Albania,ALB,2020,2528480.0,7352.82,13.07,13.12,18591460842.079998,18.591460842079996,2.53,-0.2599999999999998,2020,False,Mild
Albania,ALB,2021,2489762.0,8944.89,12.89,13.18,22270642236.656002,22.270642236656002,2.49,-0.17999999999999972,2020,False,Mild
Albania,ALB,2022,2451636.0,9147.2,13.31,13.24,22425617077.38,22.42561707738,2.45,0.41999999999999993,2020,False,Mild
